measurement:
L1-L4(width),295.0
L1-L2(halfDep),86.5
""
landmark:
name,x,y
L1,-5,667
L2,42,486
L4,914,670
""
coordinate:
frame,sub1_x,sub1_y,sub2_x,sub2_y,sub1_freeze,sub2_freeze
305,-1,-1,-1,-1,False,False
306,-1,-1,-1,-1,False,False
307,-1,-1,-1,-1,False,False
308,-1,-1,-1,-1,False,False
309,-1,-1,-1,-1,False,False
310,-1,-1,-1,-1,False,False
311,-1,-1,-1,-1,False,False
312,-1,-1,-1,-1,False,False
313,-1,-1,-1,-1,False,False
314,-1,-1,-1,-1,False,False
315,-1,-1,-1,-1,False,False
316,-1,-1,-1,-1,False,False
317,-1,-1,-1,-1,False,False
318,-1,-1,-1,-1,False,False
319,-1,-1,-1,-1,False,False
320,-1,-1,-1,-1,False,False
321,-1,-1,-1,-1,False,False
322,-1,-1,-1,-1,False,False
323,-1,-1,-1,-1,False,False
324,-1,-1,-1,-1,False,False
325,-1,-1,-1,-1,False,False
326,-1,-1,-1,-1,False,False
327,-1,-1,-1,-1,False,False
328,-1,-1,-1,-1,False,False
329,-1,-1,-1,-1,False,False
330,-1,-1,-1,-1,False,False
331,-1,-1,-1,-1,False,False
332,-1,-1,-1,-1,False,False
333,-1,-1,-1,-1,False,False
334,-1,-1,-1,-1,False,False
335,-1,-1,-1,-1,False,False
336,-1,-1,-1,-1,False,False
337,-1,-1,-1,-1,False,False
338,-1,-1,-1,-1,False,False
339,-1,-1,-1,-1,False,False
340,-1,-1,-1,-1,False,False
341,-1,-1,-1,-1,False,False
342,-1,-1,-1,-1,False,False
343,-1,-1,-1,-1,False,False
344,-1,-1,-1,-1,False,False
345,-1,-1,-1,-1,False,False
346,-1,-1,-1,-1,False,False
347,-1,-1,-1,-1,False,False
348,-1,-1,-1,-1,False,False
349,-1,-1,-1,-1,False,False
350,-1,-1,-1,-1,False,False
351,-1,-1,-1,-1,False,False
352,-1,-1,-1,-1,False,False
353,-1,-1,-1,-1,False,False
354,-1,-1,-1,-1,False,False
355,-1,-1,-1,-1,False,False
356,-1,-1,-1,-1,False,False
357,-1,-1,-1,-1,False,False
358,-1,-1,-1,-1,False,False
359,-1,-1,-1,-1,False,False
360,-1,-1,-1,-1,False,False
361,-1,-1,-1,-1,False,False
362,-1,-1,-1,-1,False,False
363,-1,-1,-1,-1,False,False
364,-1,-1,-1,-1,False,False
365,-1,-1,-1,-1,False,False
366,-1,-1,-1,-1,False,False
367,-1,-1,-1,-1,False,False
368,-1,-1,-1,-1,False,False
369,-1,-1,-1,-1,False,False
370,-1,-1,-1,-1,False,False
371,-1,-1,-1,-1,False,False
372,-1,-1,-1,-1,False,False
373,-1,-1,-1,-1,False,False
374,-1,-1,-1,-1,False,False
375,-1,-1,-1,-1,False,False
376,-1,-1,-1,-1,False,False
377,-1,-1,-1,-1,False,False
378,-1,-1,-1,-1,False,False
379,-1,-1,-1,-1,False,False
380,-1,-1,-1,-1,False,False
381,-1,-1,-1,-1,False,False
382,-1,-1,-1,-1,False,False
383,-1,-1,-1,-1,False,False
384,-1,-1,-1,-1,False,False
385,-1,-1,-1,-1,False,False
386,-1,-1,-1,-1,False,False
387,-1,-1,-1,-1,False,False
388,-1,-1,-1,-1,False,False
389,-1,-1,-1,-1,False,False
390,-1,-1,-1,-1,False,False
391,-1,-1,-1,-1,False,False
392,-1,-1,-1,-1,False,False
393,-1,-1,-1,-1,False,False
394,-1,-1,-1,-1,False,False
395,-1,-1,-1,-1,False,False
396,-1,-1,-1,-1,False,False
397,-1,-1,-1,-1,False,False
398,-1,-1,-1,-1,False,False
399,-1,-1,-1,-1,False,False
400,-1,-1,-1,-1,False,False
401,-1,-1,-1,-1,False,False
402,-1,-1,-1,-1,False,False
403,-1,-1,-1,-1,False,False
404,-1,-1,-1,-1,False,False
405,-1,-1,-1,-1,False,False
406,-1,-1,-1,-1,False,False
407,-1,-1,-1,-1,False,False
408,-1,-1,-1,-1,False,False
409,-1,-1,-1,-1,False,False
410,-1,-1,-1,-1,False,False
411,-1,-1,-1,-1,False,False
412,-1,-1,-1,-1,False,False
413,-1,-1,-1,-1,False,False
414,-1,-1,-1,-1,False,False
415,-1,-1,-1,-1,False,False
416,-1,-1,-1,-1,False,False
417,-1,-1,-1,-1,False,False
418,-1,-1,-1,-1,False,False
419,-1,-1,-1,-1,False,False
420,-1,-1,-1,-1,False,False
421,-1,-1,-1,-1,False,False
422,-1,-1,-1,-1,False,False
423,-1,-1,-1,-1,False,False
424,-1,-1,-1,-1,False,False
425,-1,-1,-1,-1,False,False
426,-1,-1,-1,-1,False,False
427,-1,-1,-1,-1,False,False
428,-1,-1,-1,-1,False,False
429,-1,-1,-1,-1,False,False
430,-1,-1,-1,-1,False,False
431,-1,-1,-1,-1,False,False
432,-1,-1,-1,-1,False,False
433,-1,-1,-1,-1,False,False
434,-1,-1,-1,-1,False,False
435,-1,-1,-1,-1,False,False
436,-1,-1,-1,-1,False,False
437,-1,-1,-1,-1,False,False
438,-1,-1,-1,-1,False,False
439,-1,-1,-1,-1,False,False
440,-1,-1,-1,-1,False,False
441,-1,-1,-1,-1,False,False
442,-1,-1,-1,-1,False,False
443,-1,-1,-1,-1,False,False
444,-1,-1,-1,-1,False,False
445,-1,-1,-1,-1,False,False
446,-1,-1,-1,-1,False,False
447,-1,-1,-1,-1,False,False
448,-1,-1,-1,-1,False,False
449,-1,-1,-1,-1,False,False
450,-1,-1,-1,-1,False,False
451,-1,-1,-1,-1,False,False
452,-1,-1,-1,-1,False,False
453,-1,-1,-1,-1,False,False
454,-1,-1,-1,-1,False,False
455,-1,-1,-1,-1,False,False
456,-1,-1,-1,-1,False,False
457,-1,-1,-1,-1,False,False
458,-1,-1,-1,-1,False,False
459,-1,-1,-1,-1,False,False
460,-1,-1,-1,-1,False,False
461,-1,-1,-1,-1,False,False
462,-1,-1,-1,-1,False,False
463,-1,-1,-1,-1,False,False
464,-1,-1,-1,-1,False,False
465,-1,-1,-1,-1,False,False
466,-1,-1,-1,-1,False,False
467,-1,-1,-1,-1,False,False
468,-1,-1,-1,-1,False,False
469,-1,-1,-1,-1,False,False
470,-1,-1,-1,-1,False,False
471,-1,-1,-1,-1,False,False
472,-1,-1,-1,-1,False,False
473,-1,-1,-1,-1,False,False
474,-1,-1,-1,-1,False,False
475,-1,-1,-1,-1,False,False
476,-1,-1,-1,-1,False,False
477,-1,-1,-1,-1,False,False
478,-1,-1,-1,-1,False,False
479,-1,-1,-1,-1,False,False
480,-1,-1,-1,-1,False,False
481,-1,-1,-1,-1,False,False
482,-1,-1,-1,-1,False,False
483,-1,-1,-1,-1,False,False
484,-1,-1,-1,-1,False,False
485,-1,-1,-1,-1,False,False
486,-1,-1,-1,-1,False,False
487,-1,-1,-1,-1,False,False
488,-1,-1,-1,-1,False,False
489,-1,-1,-1,-1,False,False
490,-1,-1,-1,-1,False,False
491,-1,-1,-1,-1,False,False
492,-1,-1,-1,-1,False,False
493,-1,-1,-1,-1,False,False
494,-1,-1,-1,-1,False,False
495,-1,-1,-1,-1,False,False
496,-1,-1,-1,-1,False,False
497,-1,-1,-1,-1,False,False
498,-1,-1,-1,-1,False,False
499,-1,-1,-1,-1,False,False
500,-1,-1,-1,-1,False,False
501,-1,-1,-1,-1,False,False
502,-1,-1,-1,-1,False,False
503,-1,-1,-1,-1,False,False
504,-1,-1,-1,-1,False,False
505,-1,-1,-1,-1,False,False
506,-1,-1,-1,-1,False,False
507,-1,-1,-1,-1,False,False
508,-1,-1,-1,-1,False,False
509,-1,-1,-1,-1,False,False
510,-1,-1,-1,-1,False,False
511,-1,-1,-1,-1,False,False
512,-1,-1,-1,-1,False,False
513,-1,-1,-1,-1,False,False
514,-1,-1,-1,-1,False,False
515,-1,-1,-1,-1,False,False
516,-1,-1,-1,-1,False,False
517,-1,-1,-1,-1,False,False
518,-1,-1,-1,-1,False,False
519,-1,-1,-1,-1,False,False
520,-1,-1,-1,-1,False,False
521,-1,-1,-1,-1,False,False
522,-1,-1,-1,-1,False,False
523,-1,-1,-1,-1,False,False
524,-1,-1,-1,-1,False,False
525,-1,-1,-1,-1,False,False
526,-1,-1,-1,-1,False,False
527,-1,-1,-1,-1,False,False
528,-1,-1,-1,-1,False,False
529,-1,-1,-1,-1,False,False
530,-1,-1,-1,-1,False,False
531,-1,-1,-1,-1,False,False
532,-1,-1,-1,-1,False,False
533,-1,-1,-1,-1,False,False
534,-1,-1,-1,-1,False,False
535,-1,-1,-1,-1,False,False
536,-1,-1,-1,-1,False,False
537,-1,-1,-1,-1,False,False
538,-1,-1,-1,-1,False,False
539,-1,-1,-1,-1,False,False
540,-1,-1,-1,-1,False,False
541,-1,-1,-1,-1,False,False
542,-1,-1,-1,-1,False,False
543,-1,-1,-1,-1,False,False
544,-1,-1,-1,-1,False,False
545,-1,-1,-1,-1,False,False
546,-1,-1,-1,-1,False,False
547,-1,-1,-1,-1,False,False
548,-1,-1,-1,-1,False,False
549,-1,-1,-1,-1,False,False
550,-1,-1,-1,-1,False,False
551,-1,-1,-1,-1,False,False
552,-1,-1,-1,-1,False,False
553,-1,-1,-1,-1,False,False
554,-1,-1,-1,-1,False,False
555,-1,-1,-1,-1,False,False
556,-1,-1,-1,-1,False,False
557,-1,-1,-1,-1,False,False
558,-1,-1,-1,-1,False,False
559,-1,-1,-1,-1,False,False
560,-1,-1,-1,-1,False,False
561,-1,-1,-1,-1,False,False
562,-1,-1,-1,-1,False,False
563,-1,-1,-1,-1,False,False
564,-1,-1,-1,-1,False,False
565,-1,-1,-1,-1,False,False
566,-1,-1,-1,-1,False,False
567,-1,-1,-1,-1,False,False
568,-1,-1,-1,-1,False,False
569,-1,-1,-1,-1,False,False
570,-1,-1,-1,-1,False,False
571,-1,-1,-1,-1,False,False
572,-1,-1,-1,-1,False,False
573,-1,-1,-1,-1,False,False
574,-1,-1,-1,-1,False,False
575,-1,-1,-1,-1,False,False
576,-1,-1,-1,-1,False,False
577,-1,-1,-1,-1,False,False
578,-1,-1,-1,-1,False,False
579,-1,-1,-1,-1,False,False
580,-1,-1,-1,-1,False,False
581,-1,-1,-1,-1,False,False
582,-1,-1,-1,-1,False,False
583,-1,-1,-1,-1,False,False
584,-1,-1,-1,-1,False,False
585,-1,-1,-1,-1,False,False
586,-1,-1,-1,-1,False,False
587,-1,-1,-1,-1,False,False
588,-1,-1,-1,-1,False,False
589,-1,-1,-1,-1,False,False
590,-1,-1,-1,-1,False,False
591,-1,-1,-1,-1,False,False
592,-1,-1,-1,-1,False,False
593,-1,-1,-1,-1,False,False
594,-1,-1,-1,-1,False,False
595,-1,-1,-1,-1,False,False
596,-1,-1,-1,-1,False,False
597,-1,-1,-1,-1,False,False
598,-1,-1,-1,-1,False,False
599,-1,-1,-1,-1,False,False
600,-1,-1,-1,-1,False,False
601,-1,-1,-1,-1,False,False
602,-1,-1,-1,-1,False,False
603,-1,-1,-1,-1,False,False
604,-1,-1,-1,-1,False,False
605,-1,-1,-1,-1,False,False
606,-1,-1,-1,-1,False,False
607,-1,-1,-1,-1,False,False
608,-1,-1,-1,-1,False,False
609,-1,-1,-1,-1,False,False
610,-1,-1,-1,-1,False,False
611,-1,-1,-1,-1,False,False
612,-1,-1,-1,-1,False,False
613,-1,-1,-1,-1,False,False
614,-1,-1,-1,-1,False,False
615,-1,-1,-1,-1,False,False
616,-1,-1,-1,-1,False,False
617,-1,-1,-1,-1,False,False
618,-1,-1,-1,-1,False,False
619,-1,-1,-1,-1,False,False
620,-1,-1,-1,-1,False,False
621,-1,-1,-1,-1,False,False
622,-1,-1,-1,-1,False,False
623,-1,-1,-1,-1,False,False
624,-1,-1,-1,-1,False,False
625,-1,-1,-1,-1,False,False
626,-1,-1,-1,-1,False,False
627,-1,-1,-1,-1,False,False
628,-1,-1,-1,-1,False,False
629,-1,-1,-1,-1,False,False
630,-1,-1,-1,-1,False,False
631,-1,-1,-1,-1,False,False
632,-1,-1,-1,-1,False,False
633,-1,-1,-1,-1,False,False
634,-1,-1,-1,-1,False,False
635,-1,-1,-1,-1,False,False
636,-1,-1,-1,-1,False,False
637,-1,-1,-1,-1,False,False
638,-1,-1,-1,-1,False,False
639,-1,-1,-1,-1,False,False
640,-1,-1,-1,-1,False,False
641,-1,-1,-1,-1,False,False
642,-1,-1,-1,-1,False,False
643,-1,-1,-1,-1,False,False
644,-1,-1,-1,-1,False,False
645,-1,-1,-1,-1,False,False
646,-1,-1,-1,-1,False,False
647,-1,-1,-1,-1,False,False
648,-1,-1,-1,-1,False,False
649,-1,-1,-1,-1,False,False
650,-1,-1,-1,-1,False,False
651,-1,-1,-1,-1,False,False
652,-1,-1,-1,-1,False,False
653,-1,-1,-1,-1,False,False
654,-1,-1,-1,-1,False,False
655,-1,-1,-1,-1,False,False
656,-1,-1,-1,-1,False,False
657,-1,-1,-1,-1,False,False
658,-1,-1,-1,-1,False,False
659,-1,-1,-1,-1,False,False
660,-1,-1,-1,-1,False,False
661,-1,-1,-1,-1,False,False
662,-1,-1,-1,-1,False,False
663,-1,-1,-1,-1,False,False
664,-1,-1,-1,-1,False,False
665,-1,-1,-1,-1,False,False
666,-1,-1,-1,-1,False,False
667,-1,-1,-1,-1,False,False
668,-1,-1,-1,-1,False,False
669,-1,-1,-1,-1,False,False
670,-1,-1,-1,-1,False,False
671,-1,-1,-1,-1,False,False
672,-1,-1,-1,-1,False,False
673,-1,-1,-1,-1,False,False
674,-1,-1,-1,-1,False,False
675,-1,-1,-1,-1,False,False
676,-1,-1,-1,-1,False,False
677,-1,-1,-1,-1,False,False
678,-1,-1,-1,-1,False,False
679,-1,-1,-1,-1,False,False
680,-1,-1,-1,-1,False,False
681,-1,-1,-1,-1,False,False
682,-1,-1,-1,-1,False,False
683,-1,-1,-1,-1,False,False
684,-1,-1,-1,-1,False,False
685,-1,-1,-1,-1,False,False
686,-1,-1,-1,-1,False,False
687,-1,-1,-1,-1,False,False
688,-1,-1,-1,-1,False,False
689,-1,-1,-1,-1,False,False
690,-1,-1,-1,-1,False,False
691,-1,-1,-1,-1,False,False
692,-1,-1,-1,-1,False,False
693,-1,-1,-1,-1,False,False
694,-1,-1,-1,-1,False,False
695,-1,-1,-1,-1,False,False
696,-1,-1,-1,-1,False,False
697,-1,-1,-1,-1,False,False
698,-1,-1,-1,-1,False,False
699,-1,-1,-1,-1,False,False
700,-1,-1,-1,-1,False,False
701,-1,-1,-1,-1,False,False
702,-1,-1,-1,-1,False,False
703,-1,-1,-1,-1,False,False
704,-1,-1,-1,-1,False,False
705,-1,-1,-1,-1,False,False
706,-1,-1,-1,-1,False,False
707,-1,-1,-1,-1,False,False
708,-1,-1,-1,-1,False,False
709,-1,-1,-1,-1,False,False
710,-1,-1,-1,-1,False,False
711,-1,-1,-1,-1,False,False
712,-1,-1,-1,-1,False,False
713,-1,-1,-1,-1,False,False
714,-1,-1,-1,-1,False,False
715,-1,-1,-1,-1,False,False
716,-1,-1,-1,-1,False,False
717,-1,-1,-1,-1,False,False
718,-1,-1,-1,-1,False,False
719,-1,-1,-1,-1,False,False
720,-1,-1,-1,-1,False,False
721,-1,-1,-1,-1,False,False
